species,origin,plot,pos,id,birth_year,observation_year,distance_A,distance_B,survival,size_tillers,flowering_tillers,spikelets_A,spikelets_B,spikelets_C,notes
FESU,O,121,3,121_orig22-3,2022,2024,1.999,1.337,1,1,0,,,,
FESU,O,121,4,121_orig22-4,2022,2024,1.975,0.884,1,1,0,,,,
FESU,O,121,10,121_orig22-10,2022,2024,2.384,1.813,1,2,0,,,,
FESU,R,121,160,121_160,2024,2024,1.915,2.325,1,1,0,,,,
FESU,R,121,161,161,2024,2024,1.982,2.366,1,1,0,,,,
FESU,R,121,162,162,2024,2024,2.323,1.922,1,1,0,,,,
FESU,O,122,3,122_orig22-3,2022,2024,0.816,1.865,1,8,5,21,25,34,
FESU,O,122,6,122_orig22-6,2022,2024,2.82,1.664,1,1,0,,,,
FESU,R,122,275,122_275,2022,2024,1.641,2.841,0,,,,,,
FESU,R,122,276,122_276,2024,2024,1.514,2.035,1,1,0,,,,
FESU,R,122,277,277,2024,2024,1.574,2.091,1,1,0,,,,
FESU,R,122,278,278,2024,2024,1.618,2.164,1,1,0,,,,
FESU,R,122,279,279,2024,2024,1.719,2.244,1,1,0,,,,
FESU,R,122,280,280,2024,2024,2.772,2.293,1,1,0,,,,
FESU,R,122,281,281,2024,2024,2.813,2.305,1,1,0,,,,
FESU,R,122,282,282,2024,2024,2.825,2.335,1,1,0,,,,
FESU,O,123,1,123_orig22-1,2022,2024,1.432,1.786,1,6,5,35,26,38,
FESU,O,123,2,123_orig22-2,2022,2024,1.934,1.584,1,3,0,,,,
FESU,O,123,3,123_orig22-3,2022,2024,1.87,1.475,1,5,0,,,,
FESU,O,123,4,123_orig22-4,2022,2024,1.446,1.834,1,13,8,34,42,18,
FESU,O,123,7,123_orig22-7,2022,2024,1.812,0.753,1,5,2,26,44,,
FESU,O,123,9,123_orig22-9,2022,2024,1.415,1.129,1,2,0,,,,
FESU,O,123,10,123_orig22-10,2022,2024,0.802,1.812,1,7,2,25,32,,
FESU,O,123,11,123_orig22-11,2022,2024,0.873,1.779,1,9,2,29,48,,
FESU,R,123,51,123_51,2024,2024,0.314,1.608,1,1,0,,,,
FESU,R,123,52,52,2024,2024,0.32,1.612,1,1,0,,,,
FESU,R,123,53,53,2024,2024,0.282,1.623,1,1,0,,,,
FESU,R,123,54,54,2024,2024,0.354,1.624,1,1,0,,,,
FESU,R,123,55,55,2024,2024,0.39,1.63,1,1,0,,,,
FESU,R,123,56,56,2024,2024,0.387,1.608,1,1,0,,,,
FESU,R,123,57,57,2024,2024,0.466,1.63,1,1,0,,,,
FESU,R,123,58,58,2024,2024,0.468,1.121,1,1,0,,,,
FESU,R,123,59,59,2024,2024,0.464,1.128,1,1,0,,,,
FESU,R,123,60,60,2024,2024,0.674,1.587,1,1,0,,,,
FESU,R,123,61,61,2024,2024,1.579,1.78,1,1,0,,,,
FESU,R,123,62,62,2024,2024,1.397,1.824,1,1,0,,,,
FESU,R,123,63,63,2024,2024,1.452,1.897,1,1,0,,,,
FESU,R,123,64,64,2024,2024,1.491,1.911,1,1,0,,,,
FESU,R,123,65,65,2024,2024,1.474,1.778,1,1,0,,,,
FESU,R,123,66,66,2024,2024,1.447,1.765,1,1,0,,,,
FESU,R,123,67,67,2024,2024,1.512,1.793,1,1,0,,,,
FESU,R,123,68,68,2024,2024,1.518,1.797,1,1,0,,,,
FESU,R,123,69,69,2024,2024,1.521,1.802,1,1,0,,,,
FESU,R,123,70,70,2024,2024,1.599,2.308,1,1,0,,,,
