"","species","plot","endo_01","id","original","endo_status_from_check","birth","year_t","age","size_t","flw_count_t","mean_spike_t","year_t1","surv_t1","size_t1","flw_count_t1","mean_spike_t1","dist_a","dist_b"
"11554","POAL",3,1,"3_153",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11555","POAL",3,1,"3_153.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11556","POAL",3,1,"3_154",0,1,2010,2010,0,1,0,NA,2011,1,3,0,NA,NA,NA
"11557","POAL",3,1,"3_154",0,1,2010,2011,1,3,0,NA,2012,1,19,9,37,NA,NA
"11558","POAL",3,1,"3_154",0,1,2010,2012,2,19,9,37,2013,1,8,0,NA,NA,NA
"11559","POAL",3,1,"3_154",0,1,2010,2013,3,8,0,NA,2014,1,12,0,NA,NA,NA
"11560","POAL",3,1,"3_154",0,1,2010,2014,4,12,0,NA,2015,0,NA,NA,NA,NA,NA
"11561","POAL",3,1,"3_154.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11562","POAL",3,1,"3_155",0,1,2010,2010,0,5,0,NA,2011,1,6,0,NA,NA,NA
"11563","POAL",3,1,"3_155",0,1,2010,2011,1,6,0,NA,2012,1,12,7,78,NA,NA
"11564","POAL",3,1,"3_155",0,1,2010,2012,2,12,7,78,2013,1,1,0,NA,NA,NA
"11565","POAL",3,1,"3_155",0,1,2010,2013,3,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11566","POAL",3,1,"3_155.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11567","POAL",3,1,"3_156",0,NA,2010,2010,0,2,0,NA,2011,1,2,0,NA,NA,NA
"11568","POAL",3,1,"3_156",0,NA,2010,2011,1,2,0,NA,2012,1,8,0,NA,NA,NA
"11569","POAL",3,1,"3_156",0,NA,2010,2012,2,8,0,NA,2013,1,5,0,NA,NA,NA
"11570","POAL",3,1,"3_156",0,NA,2010,2013,3,5,0,NA,2014,1,1,0,NA,NA,NA
"11571","POAL",3,1,"3_156",0,NA,2010,2014,4,1,0,NA,2015,0,NA,NA,NA,NA,NA
"11572","POAL",3,1,"3_156.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11573","POAL",3,1,"3_157",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11574","POAL",3,1,"3_157.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11575","POAL",3,1,"3_158",0,NA,2010,2010,0,8,0,NA,2011,1,1,0,NA,NA,NA
"11576","POAL",3,1,"3_158",0,NA,2010,2011,1,1,0,NA,2012,1,9,4,83,NA,NA
"11577","POAL",3,1,"3_158",0,NA,2010,2012,2,9,4,83,2013,0,NA,NA,NA,NA,NA
"11578","POAL",3,1,"3_158.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11579","POAL",3,1,"3_159",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11580","POAL",3,1,"3_159.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11581","POAL",3,1,"3_16",0,1,2009,2009,0,1,0,NA,2010,1,5,0,NA,NA,NA
"11582","POAL",3,1,"3_16",0,1,2009,2010,1,5,0,NA,2011,1,1,0,NA,NA,NA
"11583","POAL",3,1,"3_16",0,1,2009,2011,2,1,0,NA,2012,1,4,0,NA,NA,NA
"11584","POAL",3,1,"3_16",0,1,2009,2012,3,4,0,NA,2013,1,6,0,NA,NA,NA
"11585","POAL",3,1,"3_16",0,1,2009,2013,4,6,0,NA,2014,1,10,0,NA,NA,NA
"11586","POAL",3,1,"3_16",0,1,2009,2014,5,10,0,NA,2015,0,NA,NA,NA,NA,NA
"11587","POAL",3,1,"3_16.5",0,NA,2010,2010,0,1,0,NA,2011,1,1,0,NA,NA,NA
"11588","POAL",3,1,"3_16.5",0,NA,2010,2011,1,1,0,NA,2012,0,NA,NA,NA,NA,NA
"11589","POAL",3,1,"3_160",0,NA,2010,2010,0,1,0,NA,2011,1,1,0,NA,NA,NA
"11590","POAL",3,1,"3_160",0,NA,2010,2011,1,1,0,NA,2012,0,NA,NA,NA,NA,NA
"11591","POAL",3,1,"3_160.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11592","POAL",3,1,"3_161",0,NA,2010,2010,0,3,0,NA,2011,0,NA,NA,NA,NA,NA
"11593","POAL",3,1,"3_161.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11594","POAL",3,1,"3_162",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11595","POAL",3,1,"3_162.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11596","POAL",3,1,"3_163",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11597","POAL",3,1,"3_163.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11598","POAL",3,1,"3_164",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
