species,origin,plot,pos,id,birth_year,observation_year,distance_A,distance_B,survival,size_tillers,flowering_tillers,spikelets_A,spikelets_B,spikelets_C,notes
FESU,O,121,1,121_orig22-1,2022,2023,0.897,1.967,0,,,,,,
FESU,O,121,2,121_orig22-2,2022,2023,1.502,2.53,0,,,,,,
FESU,O,121,3,121_orig22-3,2022,2023,1.999,1.337,1,4,3,35,19,39,
FESU,O,121,4,121_orig22-4,2022,2023,1.975,0.884,1,1,1,22,,,
FESU,O,121,5,121_orig22-5,2022,2023,2.378,1.714,0,,,,,,
FESU,O,121,6,121_orig22-6,2022,2023,1.32,1.394,0,,,,,,
FESU,O,121,7,121_orig22-7,2022,2023,1.814,2.252,0,,,,,,
FESU,O,121,8,121_orig22-8,2022,2023,1.704,2.168,0,,,,,,
FESU,O,121,9,121_orig22-9,2022,2023,0.964,1.855,0,,,,,,
FESU,O,121,10,121_orig22-10,2022,2023,2.384,1.813,1,2,0,,,,
FESU,O,121,11,121_orig22-11,2022,2023,1.222,1.435,0,,,,,,
FESU,O,121,12,121_orig22-12,2022,2023,1.624,1.691,0,,,,,,
FESU,O,121,13,121_orig22-13,2022,2023,1.265,1.438,0,,,,,,
FESU,R,122,269,122_269,2019,2023,1.8,2.048,0,,,,,,
FESU,O,122,1,122_orig22-1,2022,2023,2.095,2.104,0,,,,,,
FESU,O,122,2,122_orig22-2,2022,2023,1.473,2.274,0,,,,,,
FESU,O,122,3,122_orig22-3,2022,2023,0.816,1.865,1,5,5,12,35,29,
FESU,O,122,4,122_orig22-4,2022,2023,1.443,1.187,0,,,,,,
FESU,O,122,5,122_orig22-5,2022,2023,1.543,2.339,0,,,,,,
FESU,O,122,6,122_orig22-6,2022,2023,2.82,1.664,1,4,2,16,21,,
FESU,O,122,7,122_orig22-7,2022,2023,2.455,1.401,0,,,,,,
FESU,O,122,8,122_orig22-8,2022,2023,2.436,1.335,0,,,,,,
FESU,O,122,9,122_orig22-9,2022,2023,1.972,0.663,0,,,,,,
FESU,O,122,10,122_orig22-10,2022,2023,1.309,1.772,0,,,,,,
FESU,O,122,11,122_orig22-11,2022,2023,1.385,1.814,0,,,,,,
FESU,O,122,12,122_orig22-12,2022,2023,1.364,1.673,0,,,,,,
FESU,O,122,13,122_orig22-13,2022,2023,2.067,0.569,0,,,,,,
FESU,R,122,274,122_274,2022,2023,2.055,2.029,0,,,,,,
FESU,R,122,275,122_275,2022,2023,1.641,2.841,1,1,0,,,,
FESU,O,123,1,123_orig22-1,2022,2023,1.432,1.786,1,3,2,37,23,,
FESU,O,123,2,123_orig22-2,2022,2023,1.934,1.584,1,1,0,,,,
