species,origin,plot,pos,id,birth_year,observation_year,distance_A,distance_B,survival,size_tillers,flowering_tillers,spikelets_A,spikelets_B,spikelets_C,notes
POSY,R,1,276,1_276,2013,2023,2.776,2.133,1,16,6,83,61,76,
POSY,R,1,312,1_312,2013,2023,2.582,2.494,0,,,,,,
POSY,R,1,540,1_540,2016,2023,3.133,3.53,0,,,,,,
POSY,R,1,670,1_670,2017,2023,3.614,3.138,0,,,,,,
POSY,R,1,790,1_790,2019,2023,2.453,3.123,0,,,,,,
POSY,R,1,799,1_799,2019,2023,2.234,2.03,0,,,,,,
POSY,R,1,807,1_807,2020,2023,2.453,3.123,0,,,,,,
POSY,R,1,810,1_810,2020,2023,2.234,2.03,0,,,,,,
POSY,R,1,814,1_814,2020,2023,3.17,4.162,0,,,,,,
POSY,R,1,815,1_815,2020,2023,3.222,4.168,0,,,,,,
POSY,R,1,819,1_819,2021,2023,3.528,3.867,0,,,,,,
POSY,R,1,820,1_820,2021,2023,3.354,3.887,0,,,,,,
POSY,R,1,824,1_824,2021,2023,3.197,3.883,0,,,,,,
POSY,R,1,827,1_827,2021,2023,3.184,3.784,0,,,,,,
POSY,R,1,828,1_828,2021,2023,3.165,3.774,0,,,,,,
POSY,R,1,830,1_830,2021,2023,2.971,3.472,0,,,,,,
POSY,O21,1,2,1_orig21-2,2021,2023,1.835,2.13,0,,,,,,
POSY,O21,1,5,1_orig21-5,2021,2023,2.02,1.064,0,,,,,,
POSY,O21,1,4,1_orig21-4,2021,2023,2.098,0.873,1,1,0,,,,
POSY,O21,1,3,1_orig21-3,2021,2023,0.993,2.017,1,9,6,59,96,91,
POSY,R,1,832,1_832,2022,2023,3.934,3.025,0,,,,,,
POSY,R,1,833,1_833,2022,2023,3.449,3.572,0,,,,,,
POSY,R,1,834,1_834,2022,2023,3.435,3.555,0,,,,,,
POSY,R,1,835,1_835,2022,2023,3.571,3.786,1,6,0,,,,
POSY,R,1,836,1_836,2022,2023,3.228,3.758,1,5,0,,,,
POSY,R,1,837,1_837,2022,2023,3.173,3.705,1,2,0,,,,
POSY,R,1,838,1_838,2022,2023,2.936,3.316,1,1,0,,,,
POSY,R,1,839,1_839,2022,2023,3.125,3.818,0,,,,,,
POSY,R,1,840,1_840,2022,2023,3.068,3.822,0,,,,,,
POSY,R,1,841,1_841,2022,2023,2.984,3.781,0,,,,,,
POSY,R,1,842,1_842,2022,2023,3.024,3.747,0,,,,,,
POSY,R,1,843,1_843,2022,2023,3.087,3.855,1,5,1,9,,,
POSY,R,1,844,1_844,2022,2023,2.831,3.777,1,8,2,85,32,,
POSY,R,1,845,1_845,2022,2023,2.662,3.691,1,1,0,,,,
POSY,R,1,846,1_846,2022,2023,2.707,3.64,1,8,0,,,,
POSY,R,1,847,1_847,2022,2023,2.659,3.39,1,4,0,,,,
POSY,R,1,848,1_848,2022,2023,2.729,3.239,1,4,2,29,44,,
POSY,R,1,849,1_849,2022,2023,2.831,3.427,1,8,2,85,32,,
POSY,R,1,850,1_850,2022,2023,3.064,2.09,1,4,0,,,,
POSY,R,1,851,1_851,2022,2023,2.747,1.993,0,,,,,,
POSY,R,1,852,1_852,2022,2023,2.778,1.959,0,,,,,,
POSY,R,1,853,1_853,2022,2023,2.641,1.965,1,7,2,33,64,,
POSY,R,1,854,1_854,2022,2023,2.788,1.953,0,,,,,,
POSY,R,1,855,1_855,2022,2023,2.741,1.871,0,,,,,,
POSY,R,1,856,1_856,2022,2023,2.737,1.951,0,,,,,,
POSY,R,1,857,1_857,2022,2023,2.611,1.948,1,4,3,104,79,54,
POSY,R,1,858,1_858,2022,2023,2.728,1.943,0,,,,,,
POSY,R,1,859,1_859,2022,2023,2.712,1.924,0,,,,,,
POSY,R,1,860,1_860,2022,2023,2.732,1.9283,0,,,,,,
POSY,R,1,861,1_861,2022,2023,2.683,1.857,0,,,,,,
POSY,R,1,862,1_862,2023,2023,1.566,2.434,1,1,0,,,,2023 recruits would start here
